document_id,clean_text,sentiment
13,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
14,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
15,mom saw yesterday thoughts no review added viewer,neutral
16,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
17,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
18,brilliant observations social depth missing no review added viewer,neutral
19,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
20,reasons seeing reason no review added viewer,neutral
21,overrated no review added viewer,neutral
22,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
23,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
24,heavy handed no review added viewer,neutral
25,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
26,amazing cast set political message strong no review added viewer,positive
27,hot pink mess no review added viewer,neutral
28,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
29,depressing no review added viewer,neutral
30,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
31,marketing entertaining actual movie no review added viewer,neutral
32,somewhat jumbled mess no review added viewer,neutral
33,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
34,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
35,technicolor dream no review added viewer,neutral
36,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
37,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
38,mom saw yesterday thoughts no review added viewer,neutral
39,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
40,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
41,brilliant observations social depth missing no review added viewer,neutral
42,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
43,reasons seeing reason no review added viewer,neutral
44,overrated no review added viewer,neutral
45,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
46,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
47,heavy handed no review added viewer,neutral
48,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
49,amazing cast set political message strong no review added viewer,positive
50,hot pink mess no review added viewer,neutral
51,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
52,depressing no review added viewer,neutral
53,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
54,marketing entertaining actual movie no review added viewer,neutral
55,somewhat jumbled mess no review added viewer,neutral
56,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
57,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
58,technicolor dream no review added viewer,neutral
59,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
60,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
61,mom saw yesterday thoughts no review added viewer,neutral
62,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
63,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
64,brilliant observations social depth missing no review added viewer,neutral
65,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
66,reasons seeing reason no review added viewer,neutral
67,overrated no review added viewer,neutral
68,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
69,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
70,heavy handed no review added viewer,neutral
71,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
72,amazing cast set political message strong no review added viewer,positive
73,hot pink mess no review added viewer,neutral
74,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
75,depressing no review added viewer,neutral
76,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
77,marketing entertaining actual movie no review added viewer,neutral
78,somewhat jumbled mess no review added viewer,neutral
79,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
80,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
81,technicolor dream no review added viewer,neutral
82,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
83,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
84,mom saw yesterday thoughts no review added viewer,neutral
85,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
86,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
87,brilliant observations social depth missing no review added viewer,neutral
88,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
89,reasons seeing reason no review added viewer,neutral
90,overrated no review added viewer,neutral
91,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
92,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
93,heavy handed no review added viewer,neutral
94,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
95,amazing cast set political message strong no review added viewer,positive
96,hot pink mess no review added viewer,neutral
97,people missing point seeing lot reviews saying movie preachy men portrayed idiots etc satire meant top yes lot say fact people audience id wager negative reviews people didnt bother watch movie dont want hear doesnt make less validin barbieland ken accessory barbie portrayed nothing object something women real world deal time fact many men reacting negatively movie tells dont like treated way women treated every day point movie yet much say ultimately message barbie isnt women rule men drool patriarchy ultimately harms men women thats true people say movie antimen missing entire point patriarchy may give men privilege ultimately hurts pressuring conform rigid idea manhood silencing selfexpressioni living fact movie unapologetic showing absurdity would given werent cringe worthy ken dance number weak part movie otherwise bravo,neutral
98,depressing no review added viewer,neutral
99,could great nd half brings quality humor writing movie fun quirky unique get weeds try explore deeper themes movie miss middle expositional phase movie must say borethe movie close great incapable delivering message without character literally give speech worth dialoguewhat could great satire began cleverly funny movie turned preachy moralizing movie end guess charm first half movie made shortcomings,positive
100,marketing entertaining actual movie no review added viewer,neutral
101,somewhat jumbled mess no review added viewer,neutral
102,strong start thats walked theatre thinking yeah good time movie day went kind ok kebab probably wasnt good ideathe film stunning production design creativity margot robbie perfectly cast stereotypical barbie part songs catchy performances solid type characters portrayingwhen strip away outside world messaging barbie ken poignant moments barbie realising shes perfect shes made believe ken receives first modicum acknowledgement sentient hes ever life also share couple learning growth moments thought would pay end filmi dont know hoping something would actually enlighten audience acknowledge things mess make intentional meaningful steps get us closer understanding equality barbie brand history controversies engrained culture movie potential change perspective world future could thats lot pressure one film knowhowever film absolutely immune notsosubtle messaging permeated forms media entertainment recently fact embraces much scene man walks behind barbie slaps backside broad daylight crowded space front boyfriend kind portrayal men appears film views worldmaybe kind overt comical depiction men world generally allowed get movie kind enjoy upon reflection realise kind yuckbarbie rare opportunity film experience highlighted issues real world offer foster ideas change instead receive divisive meanspirited attack half human population well anyone thinking family acceptable path life also flat feet celluliteif kind switch brain hour bit dont take film seriously maybe youll lasting positive memory seeing moviebut need enjoy something need ask,positive
103,overhyped movie way overhyped everyone kept saying amazing finally go watch thought going storyline good basic corny storyline opinioni didnt care portrayed ken ryan gosling amazing actor good representation ken comes looks actual ken doll looks way acted ken good either didnt get much help writers way wrote part movie much potential definitely let one positive funny parts could written much better could much better storyline,positive
104,technicolor dream no review added viewer,neutral
105,could much better films universe settings fantastic casting really good gosling excelling role kenregrettably however film completely misses chance appeal people grew barbie instead left film almost divides pits men women attempt make feminist political filminstead seeing light fun film saw rather heavyhanded movie whose storyline centered around patriarchyits real shame films potential pretty amazing came away disappointed totally disgusted either,positive
106,well really come surprise pains say enjoyed movie much expecting musical numbers humour truly something whole family yo enjoybright garish somewhat kitsch expectations sure veritable cornucopia glitter rainbows wasnt expecting film engaging theres actually real depth wasnt expecting opening introduction came major surprise pretty much set toneof course plenty double entendres laughs adults enjoy kids no doubt chuckle away tooim pretty sure film going win awards production well made creative design visuals lot thought gone greta gerwig great jobmargot robbie glorious barbie ryan gosling great thought pair shared terrific scenes real chemistry plenty cutting one linersgreat use music everything fitted film well,positive
107,mom saw yesterday thoughts no review added viewer,neutral
108,disappointing terribly preachy horrendous script great cast margot robbie ryan gosling really great roles barbie kent gosling specially hilarious expected funny cool deep entertaining movie highly disappointed movie terribly preachy ends embarrassment audience brains please preach somewhere else furthermore movie divide unite im woman script movie horrendous direction plain bad great actresses little say like emma mackey thats pity overall huge disappointment missed opportunity point margot robbie point ryan gosling point art direction super tacky pinky barbies world,positive
109,ken ten wow see masterpiece coming thats joke somehow greta gerwig took barbie made movie tackles really tough social issueswell crazy wow work story mature thinker plot youre done laughing butt youll get really emotional production design point whole movie pink everything never polarizing shades melt together pleasing way course cast margot robbie born play barbie hits home run ryan gosling dude rocks ken knocked way around world hit back head steals every scene hes would board ken spinoff america ferrara simu liu also great respective roles cast overall perfect overall barbie probably best movie based toy sorry lego movies overall fantastic time movies,positive
110,brilliant observations social depth missing no review added viewer,neutral
111,watch movie everyone else lol production value cinematography acting would expect margo robbie supporting cast felt movie fell short preaching spreading message division rather unity men women cannot survive without youd never know watching movie year old daughter almost caused walk theater kept waiting writers hit direction unity never came movie daughter brought message saying even noticed weird agenda theyre trying push said movie easily impressionable come find daughter better suited take world thought proud day father,neutral
112,reasons seeing reason no review added viewer,neutral
113,overrated no review added viewer,neutral
114,everyone much movie get devided opinions cousin said well two hours life never get back left theatre good mood sense humor laughed hard specially ryan gossling sooooo good funny many familiar faces spot also margot robbie come perfect casting barbie also say way created barbie land amazing makes want dont really anything bad say movie understand everyone love sure iconic film already,positive
115,fun film whose script falls margot robbies performance perfect no actor couldve embodied character well however ryan gosling filmstealer often forget comedic talent hes given lot room flex cleverly executed matchbox twenty joke particularly memorablewhile cynics perhaps realists argue film primarily marketing vehicle sell barbie dolls attempt carry moral message however commercial aspect movie undercuts credibility message somewhatthe movie starts well smartly selfaware offering tongueincheek critique many winks audience however progresses commentary feminism patriarchy becomes heavyhanded especially dialogueheavy third act weighs overall narrativethe set wardrobe designs standout think kids love part alone even humor social commentary go headsoverall fun film without flaws likely spark discussion due blunt societal commentary youre looking visually impressive movie entertain kids youre willing enjoy without analyzing message deeply enjoyable watch,positive
116,heavy handed no review added viewer,neutral
117,beautiful film preachy margot best shes given film disappointing marketed fun quirky satire homages movies started way ended overdramatized speeches ending clearly tried make audience feel something left everyone feeling confused say im crotchety old man im woman im pretty sure im movies target audience saddest part parents kids theater victims poor marketing kids movie overall humor fun occasion film beautiful look whole concept falls apart second half film becomes pity party strong woman,positive
118,amazing cast set political message strong no review added viewer,positive
119,hot pink mess no review added viewer,neutral
